sId	no_raw_reads	no_qc_reads	no_mapped_reads	perc_qc_of_raw	perc_mapped_of_qc	av_len_mapped	no_unmapped_reads	no_virus_mapped_reads	perc_virus_mapped_reads
0246_2_TP04_020_FC_NOR_1TR1_SL1_S20	20000	19851	18098	99.255	91.17	287.75	1753	NA	NA
0246_2_TP04_021_FC_MOD_1TR1_SL1_S21	20000	19864	17930	99.32	90.26	286.57	1934	NA	NA
0246_2_TP04_022_FC_MOD_1TR1_SL1_S22	20000	19874	18035	99.37	90.75	289.97	1839	NA	NA
0246_2_TP04_023_FC_MOD_1TR1_SL1_S23	20000	19869	17976	99.345	90.47	288.38	1893	NA	NA
0246_2_TP04_024_FC_MOD_1TR1_SL1_S24	20000	19851	18060	99.255	90.98	287.45	1791	NA	NA
0246_2_TP04_025_FC_MOD_1TR1_SL1_S25	20000	19837	17651	99.185	88.98	287.35	2186	NA	NA
0246_2_TP04_026_FC_MOD_1TR1_SL1_S26	20000	19853	18092	99.265	91.13	289.20	1761	NA	NA
